fullvisitorID,TARGET
id_1777928376868391140,Neg
id_6992547732578010050,Pos
id_3892514933322925604,Pos
id_6203927892346936234,Neg
id_6305717496273840662,Neg
id_4940447310993415678,Neg
id_635499550379142577,Pos
id_3451135395008416989,Neg
id_829047183513626501,Pos
id_5488001516056558396,Neg
id_2599403608817730500,Pos
id_5247037903535451353,Neg
id_3104653360970096981,Pos
id_1657826333765631474,Pos
id_2613165379815824483,Neg
id_365603040998846855,Neg
id_7669339118490087288,Neg
id_4049493608578801106,Pos
id_392369156927469034,Neg
id_5155297629730768211,Pos
id_3591091637402179251,Neg
id_6079565675472989815,Neg
id_750099392487944072,Neg
id_790146161477866056,Neg
id_1897363978486453255,Neg
id_851912953742551107,Pos
id_3641711430463890421,Pos
id_8562830712787387591,Pos
id_4068222590861353098,Pos
id_2571893651798868713,Neg
id_8684334031919671183,Pos
id_7251789201202279657,Pos
id_8148773299692999466,Neg
id_2653414394520546812,Pos
id_89501283119496585,Neg
id_915172375992139613,Neg
id_1780563214755094797,Pos
id_352581614980456127,Neg
id_1782004988027423976,Pos
id_2748905531988929118,Neg
id_680178445898468992,Pos
id_5917283561714732702,Neg
id_5016877160264337041,Neg
id_1703354808168054518,Pos
id_2576438216824557215,Pos
id_7803821077170447962,Neg
id_7498037208335951945,Neg
id_1121490432959190569,Neg
id_2125233700306228919,Neg
id_4161028162584290776,Pos
id_9113873101312408683,Neg
id_2245476553911570659,Pos
id_1048473811376965479,Pos
id_1461264509764656151,Pos
id_2140669512123684609,Pos
id_4544040899231383569,Neg
id_6558368865854579322,Neg
id_7718680712101871532,Pos
id_1575444149449660313,Neg
id_5593444732702162810,Neg
id_6823805000165404894,Pos
id_7057256886680242325,Pos
id_2922346198415694962,Pos
id_1201580556433637478,Pos
id_1864295247156879200,Neg
id_581154105121262945,Pos
id_5456463704344734961,Pos
id_4983214868751065890,Pos
id_2524750398535734430,Pos
id_7189989578204444327,Neg
id_1340933270023456947,Pos
id_1415401255546957294,Neg
id_1830355539418571829,Pos
id_4222280044110648586,Pos
id_7065014542511688714,Neg
id_466800746890227666,Pos
id_6159573490199650650,Neg
id_986409060049568117,Neg
id_7686173521979720786,Neg
id_5214571064636305416,Neg
id_3582554814351987014,Neg
id_6643296200548470183,Pos
id_8580313140945435602,Pos
id_3482874035097815465,Pos
id_8033736685181636540,Pos
id_795638617196805849,Neg
id_2727804752801084173,Neg
id_5685518622387328502,Pos
id_8509883837724177511,Pos
id_8246538553622702061,Pos
id_7944964006143891774,Neg
id_973974906392080346,Pos
id_3995494049882645770,Neg
id_2426481035703308318,Neg
id_2911603815193735279,Neg
id_1234017291915191096,Neg
id_6717855634508674584,Pos
id_2667054699557497955,Pos
id_1088180371708595391,Neg
id_496643966372288202,Neg
id_86010475440034357,Neg
id_891174641369516318,Pos
id_4650848768713285221,Pos
id_7773589060068218077,Pos
id_1604599336647174841,Neg
id_8229098946298623733,Neg
id_3394996272619137734,Neg
id_7779387785609036701,Neg
id_6277861966182498546,Pos
id_6762457143303683038,Neg
id_3712786370347354324,Pos
id_5670455021033852335,Pos
id_5029405025817380841,Pos
id_1546382424986237187,Pos
id_1040431588197336844,Pos
id_1824314891251258130,Pos
id_2159888013304425849,Neg
id_7153094499162487486,Neg
id_7689018469655996723,Pos
id_644980780882335360,Pos
id_8046892505022964590,Neg
id_7920894871976066732,Neg
id_7005359847658865151,Neg
id_4636686814113604398,Pos
id_4465159207746712593,Pos
id_5644596023667765871,Neg
id_4946691952924551635,Pos
id_1841784700789554409,Pos
id_4569403810685881581,Pos
id_665273264403994475,Pos
id_4092874354523119577,Neg
id_4828150748186565505,Pos
id_5903965220324254230,Pos
id_3769677146377141270,Neg
id_6409237993496001434,Pos
id_7920870485150873608,Neg
id_8413916233767600618,Neg
id_1061686625427377506,Pos
id_464045160300312677,Neg
id_589594467477287521,Neg
id_4327034756024349258,Pos
id_2688712952580369621,Pos
id_2031053824946078148,Pos
id_8977603761923512583,Pos
id_3992737694525809153,Neg
id_2368564488345157235,Pos
id_6589820095323617296,Pos
id_4634888781917732116,Neg
id_6133004500384073593,Pos
id_8575261769771614153,Neg
id_3835086650725432415,Pos
id_7727693262887004524,Neg
id_5645634632659666285,Pos
id_2120091073970116840,Neg
id_306400193881096570,Pos
id_4539164328934684260,Neg
id_7001400235702994335,Neg
id_259163275975517201,Pos
id_6096314145262603930,Pos
id_6707371030931160861,Pos
id_5115625188615452406,Neg
id_5538833420376453669,Pos
id_1516617906539541273,Neg
id_7065788839215919062,Neg
id_6339722637844915314,Pos
id_8291668695582890165,Neg
id_3389820158425722578,Pos
id_387962992926180226,Neg
id_803915878170018521,Neg
id_7068709773456967367,Pos
id_6576022783465437748,Neg
id_8766800612341570414,Pos
id_7344377211357996311,Pos
id_3720712753966081772,Neg
id_594496536988376103,Neg
id_1012255340013567907,Pos
id_2124769143755783524,Pos
id_6316805628657815911,Neg
id_5757596767847478081,Pos
id_2986588936256238538,Pos
id_1023081767155547809,Pos
id_7145728995322598223,Neg
id_140774778792604065,Neg
id_8260235685367555446,Pos
id_2085444152616183535,Neg
id_7694171154812929103,Pos
id_421229812439244509,Neg
id_269063845610979683,Neg
id_4861345442314799546,Neg
id_5441786134645962615,Neg
id_5512977931999651823,Pos
id_7059220644513599493,Neg
id_3150668893259836301,Neg
id_7861542246469093943,Pos
id_8225627049348900502,Pos
id_7909984615660429974,Pos
id_4526701025338158249,Pos
id_2326146948945317112,Neg
id_265833308594839173,Neg
id_4861374334555806675,Pos
id_5888691397495124480,Neg
id_696389890146728782,Neg
id_1174770365549243461,Neg
id_1752827849255497592,Neg
id_233963762253837032,Pos
id_7008367733514492150,Pos
id_1893438550176127625,Neg
id_2070818521955493003,Pos
id_1954635743879920116,Neg
id_3056242538308914439,Pos
id_4462832679799876198,Neg
id_2453639363753811482,Neg
id_8224420305276691598,Neg
id_1674799022315481113,Neg
id_5507314648253603039,Pos
id_3752224052847979867,Pos
id_7616760631357148652,Neg
id_600130842589272396,Pos
id_933281061924876538,Pos
id_2302518005984746186,Neg
id_7688356220061238475,Pos
id_4739738038937383226,Neg
id_3626602517206077027,Pos
id_1767961832245208470,Neg
id_1962045726409595984,Neg
id_1642784026855504675,Pos
id_1761184283659532079,Neg
id_4761545529228823326,Pos
id_7911454959063478048,Neg
id_4297706614794861397,Neg
id_2733787096781934467,Pos
id_1060515873177784445,Neg
id_4011340529319934443,Neg
id_5178178664269164160,Pos
id_8761081524087711662,Pos
id_3886007057142018059,Neg
id_2907635402856261575,Neg
id_1549188765264063169,Pos
id_4872350510028888139,Neg
id_3551057972360063579,Neg
id_4171758661633469465,Neg
id_4590693495393353507,Neg
id_6388952102748369170,Neg
id_7228987876956538354,Pos
id_5749547440789533127,Pos
id_5412415855498685229,Neg
id_1729764235654399675,Pos
id_1151456243691478898,Pos
id_4692195834763174112,Pos
id_5392402467534626560,Neg
id_3181152032794747852,Pos
id_6014666164130393819,Pos
id_6954382687546342083,Pos
id_2528393333966817623,Neg
id_5918517978236667416,Neg
id_411928120161846311,Pos
id_1748115295179282812,Neg
id_7966423951971491242,Neg
id_7833492549496614186,Pos
id_4149670568254400064,Neg
id_8253411806968056271,Pos
id_3517070186752871391,Pos
id_8898357689708880023,Pos
id_6233887849035935279,Neg
id_2012016558500219768,Pos
id_7233318234781151132,Neg
id_9165410973692092735,Neg
id_6653245410653585582,Neg
id_6637769264833498549,Pos
id_716479410678935905,Neg
id_5455773129441418334,Pos
id_630182621384184573,Pos
id_6600657307124260748,Pos
id_4043152308405501058,Pos
id_6999246760580214085,Pos
id_4199638999454132001,Pos
id_132940195809113826,Neg
id_5986783300866671771,Pos
id_4771902559395184020,Neg
id_8288987399042275898,Pos
id_524451955468630235,Pos
id_9163353675769075040,Pos
id_7445756637316986197,Pos
id_2731376971595566952,Neg
id_1776043848300725157,Pos
id_6533702284562879329,Pos
id_6891382354907553380,Pos
id_5812259134451408341,Pos
id_3800253452343631176,Pos
id_767085893650233205,Pos
id_2159229942705052388,Pos
id_8097556720924316840,Pos
id_3026097670394183653,Neg
id_247515874423040967,Neg
id_981058660378788485,Neg
id_183151129455195759,Neg
id_8292113993498758856,Neg
id_1176453524581532572,Neg
id_1114868658539298957,Neg
id_8115114916597639960,Pos
id_1568832992189141378,Neg
id_2071349474382008158,Neg
id_4137933092643546699,Pos
id_6331973120978468242,Pos
id_6169709458402846038,Neg
id_5826086094467065730,Neg
id_1039727484138380554,Pos
id_43289333395707274,Neg
id_5337107641226877439,Neg
id_9162444791966654555,Pos
id_6924621914264720138,Neg
id_7443863205283551928,Neg
id_1200235724870938678,Pos
id_5826836158967103524,Neg
id_7163163714980636851,Neg
id_8491553321035156029,Pos
id_2539486302486053515,Neg
id_923878974780651624,Neg
id_2132554334619641005,Neg
id_4595674308866103627,Pos
id_9125098487960866734,Neg
id_8665128733472147337,Pos
id_6004153157930534879,Neg
id_6585495664522008468,Pos
id_957143685466601160,Neg
id_4462553146146040933,Pos
id_7704988695667094387,Neg
id_2755122140670687605,Pos
id_7961739581467501434,Pos
id_8082261775454249474,Neg
id_6217228353797891755,Pos
id_2812236637247323684,Neg
id_229079787435012263,Neg
id_2447501924207895579,Neg
id_1881966353226716891,Pos
id_758189736487809963,Neg
id_2096002646808264345,Pos
id_2911118986406424033,Pos
id_3822325456785369489,Pos
id_4473627371427434578,Neg
id_6802570913779775154,Neg
id_3553120596042676216,Neg
id_665196337245590108,Neg
id_6528584508886898020,Pos
id_8903301506301561911,Pos
id_6393176761431862697,Neg
id_4300230767074053683,Neg
id_5086261321843226859,Pos
id_9174949924256420452,Neg
id_3799422444890469639,Pos
id_866664809200194072,Neg
id_1018767154675610457,Pos
id_2439620178179240907,Pos
id_8080054948237816914,Neg
id_7787401674899043886,Pos
id_7671359140388909485,Pos
id_5665750421230953472,Neg
id_3005232826608436860,Neg
id_565524835092039318,Neg
id_6401739332790265877,Neg
id_9110728274714337433,Pos
id_5123063788507429102,Pos
id_6085092293362474581,Neg
id_6812981738378987485,Neg
id_7903866091153919657,Neg
id_2474595402542774759,Neg
id_5996861282712938833,Neg
id_5396679327254461792,Pos
id_3426670574102744284,Pos
id_4767119834135623201,Neg
id_3180414904737433025,Pos
id_8532116585612894604,Pos
id_3161756583263472611,Pos
id_4845958253824289340,Pos
id_5662547200263175378,Pos
id_7993032777605642562,Neg
id_1918372342868328804,Pos
id_3555319284291136888,Neg
id_7493356866509489386,Pos
id_8229321752015305174,Neg
id_457647097842545949,Neg
id_884621522000441194,Pos
id_6303335863893162768,Neg
id_4624252772144867029,Pos
id_5403034611832031837,Neg
id_995787928592759587,Neg
id_176640182374044764,Pos
id_3897795325028828254,Pos
id_4651851798201203542,Pos
id_6803685994665037905,Pos
id_1687276632456263406,Neg
id_7356710347384294201,Pos
id_1209371627109176730,Neg
id_472015404123850121,Neg
id_5230936212877003477,Neg
id_5174025186081464185,Neg
id_5024995889693208179,Neg
id_1289557798943314591,Pos
id_961694091653961151,Pos
id_266456104676468964,Pos
id_6978833305002219310,Pos
id_1624738116172004748,Neg
id_7784421706325858536,Pos
id_3563523101323564554,Pos
id_2084035197179509881,Neg
id_6980801465179718693,Neg
id_4596899246429670333,Neg
id_3184781512093404344,Pos
id_3569809554764982365,Neg
id_4168063546654217089,Neg
id_890025033237924766,Pos
id_225238875492534086,Neg
id_120535351003041894,Neg
id_1487066749135265800,Neg
id_8998062572343383227,Pos
id_5696756593295929196,Neg
id_1284395012032845117,Neg
id_4722883251533728991,Pos
id_514016950170178691,Neg
id_8969294151254736951,Pos
id_6079336667819420634,Pos
id_2472449654059935237,Pos
id_8086840725984885110,Pos
id_3069066138133633921,Pos
id_3088813238118425283,Pos
id_571718405570114240,Pos
id_5225940431472462168,Neg
id_3745254085424525006,Neg
id_5482858331377144675,Neg
id_8044077948525284456,Neg
id_5233163312341081590,Pos
id_2640076287688052751,Pos
id_3766495404534584467,Neg
id_1293309079217003249,Pos
id_4751657659816201257,Neg
id_2751527373301296491,Neg
id_2583412049710506251,Neg
id_2407174251472942746,Pos
id_8297385748022030831,Neg
id_3283105914929933990,Neg
id_2664571817614856585,Pos
id_2738697558662549553,Pos
id_3215601733554423759,Neg
id_8509422107263812752,Neg
id_7253339778881691727,Neg
id_4248861034061336890,Neg
id_1664460632309394141,Pos
id_380768768087882513,Pos
id_5342034750398255295,Neg
id_7424662218974738781,Neg
id_859032587883436985,Pos
id_1164671712026211949,Neg
id_2134050761356760767,Pos
id_926030478519449558,Neg
id_5747447639868921718,Pos
id_2057438779704922475,Pos
id_8971235102809515227,Neg
id_148885180285809971,Pos
id_3271370689884932595,Pos
id_6870029263523993085,Pos
id_3597170411992317583,Neg
id_817466452741039111,Pos
id_1524547240802888562,Pos
id_4057992283700478460,Neg
id_8254321962078826936,Pos
id_5475593080659886372,Pos
id_4834998025562834463,Neg
id_8826741334839966213,Pos
id_8342317161846294077,Pos
id_7339623189367335261,Pos
id_7152224321609257040,Neg
id_8576986010163579106,Pos
id_9103431120985737573,Neg
id_7806186770930159981,Pos
id_7564285463971403939,Neg
id_579394624519975837,Pos
id_3089933460079665264,Neg
id_4247787000187570389,Pos
id_4551218141768640481,Neg
id_5281358931364741148,Neg
id_4578238764575131186,Neg
id_1132796307297941245,Pos
id_3831091918827230419,Pos
id_7517301708612086743,Neg
id_321336488112468712,Neg
id_1604236205752490818,Neg
id_3392074870225671806,Neg
id_8968253459204752844,Pos
id_1174747426134650704,Neg
id_7932202988290520703,Neg
id_240354128131517361,Neg
id_5854387472222193144,Neg
id_2574630233159507607,Pos
id_5618113212370114829,Pos
id_5663797963453625507,Neg
id_1369802532658535157,Pos
id_4994620309027207020,Pos
id_2431858459315650583,Neg
id_988195800804433784,Neg
id_5658003515702578902,Neg
id_7677207296707632765,Neg
id_9082457369744767771,Neg
id_4910736178938081858,Pos
id_6503935266394717064,Neg
id_3544589528274626347,Pos
id_7835068789606877753,Neg
id_7622070477952670806,Neg
id_1392037805980905034,Neg
id_5322404872959869495,Neg
id_6640014089623709470,Pos
id_8368354005209797139,Neg
id_787642131071608108,Pos
id_7273930088324273503,Neg
id_2002775652829058013,Neg
id_8127518296818451752,Neg
id_1399701917419774783,Neg
id_7450898284404219442,Pos
id_3919408755805090647,Neg
id_3137465064277535074,Pos
id_7088708691673079135,Pos
id_8008845623128086416,Pos
id_3665551561270902176,Pos
id_1518301456410686410,Pos
id_2906515030566165904,Neg
id_4605943111814901867,Neg
id_9082524538745820190,Neg
id_5918833104311756268,Neg
id_5131579609139619112,Neg
id_730618747979567730,Neg
id_1192020191160743310,Neg
id_3805883789396396518,Pos
id_5066283637951294465,Neg
id_2491945966578684992,Neg
id_2945343265795171271,Neg
id_1956419899070891166,Pos
id_5450789197854526531,Pos
id_3660542190554018381,Neg
id_7692618811893071809,Pos
id_3638636027723771591,Neg
id_4676109000390770561,Pos
id_3484733498238235221,Pos
id_2416766416681222100,Neg
id_5458697770239660449,Pos
id_7762489451538705237,Pos
id_8047506895770537878,Pos
id_7417705729168156211,Pos
id_976748823900822317,Pos
id_4551090649933009648,Neg
id_2405606841813322367,Neg
id_4369412167541227243,Pos
id_8940342330765969497,Neg
id_8120533022135704150,Pos
id_8292886061115019683,Pos
id_4376349291342162749,Pos
id_7099984020205270025,Neg
id_624991277233893365,Pos
id_8730792706045779382,Neg
id_8687223088917229248,Neg
id_8902427862708486091,Pos
id_1559357207708119308,Pos
id_3115796718050072368,Neg
id_1106032205710091104,Pos
id_236459275691806744,Pos
id_8307372947145829554,Pos
id_1728079380113760831,Pos
id_6579865945972391125,Neg
id_3742405491314532694,Pos
id_1667279844551872820,Neg
id_8586766934890935153,Neg
id_2397631091834433267,Pos
id_6604308832486147552,Pos
id_7712243281975347524,Neg
id_1259443622864989823,Pos
id_6106730351491112542,Pos
id_6512321855756379542,Neg
id_3791883819512870381,Pos
id_4021923126876351381,Neg
id_8604570265826588810,Pos
id_2162974664562491081,Neg
id_8834959054683018888,Neg
id_3943004322551603003,Pos
id_2334610675931249072,Pos
id_6676623716541334303,Neg
id_5052742495124546397,Pos
id_8888128297380057696,Pos
id_6287061399583906051,Neg
id_1188974019966162499,Neg
id_3064583691213704146,Pos
id_1109671816831870629,Neg
id_5656890496405610018,Pos
id_6832143524555308395,Pos
id_2159813134841069202,Pos
id_5675586424616411495,Pos
id_5624592960809774067,Neg
id_6607105070943000461,Neg
id_5323657629019860775,Neg
id_8946211858836441616,Pos
id_8323257063350111072,Pos
id_8922429040076920055,Pos
id_4365641336576332191,Pos
id_6089808390794331858,Neg
id_1823111763537541755,Pos
id_812029045622874847,Pos
id_7105522041220151490,Pos
id_271290653009685048,Pos
id_8373898936837783544,Pos
id_2871511987708855633,Neg
id_3673791451730631425,Pos
id_7045775167790565058,Pos
id_8083157151580364004,Pos
id_8976911280048064132,Pos
id_4971235779764888376,Neg
id_5220870213996930963,Neg
id_7458403413334996629,Pos
id_2648603185046285374,Pos
id_448681508228553114,Pos
id_6451908218703551749,Pos
id_2041401943056634728,Neg
id_7007757719308301649,Neg
id_451117712467917030,Neg
id_390153039704441323,Neg
id_1484142426160147720,Pos
id_4815368040747310899,Pos
id_3092470441419968839,Pos
id_8137866895967208774,Pos
id_1869340845894541438,Neg
id_2581718522628563115,Neg
id_5848892087340063060,Pos
id_8879387261544257921,Neg
id_1896970688333468972,Pos
id_4850701817570501502,Pos
id_227036778868890850,Pos
id_1781418819485880500,Neg
id_1581875751310051471,Pos
id_4331598519552255844,Neg
id_8902055154036907167,Pos
id_2939123843897724614,Neg
id_3222201874217215065,Pos
id_1092370056478626251,Neg
id_899507062601164864,Pos
id_6640422742871501273,Pos
id_1286345661626115025,Neg
id_6918861203477743170,Pos
id_99433815899613264,Neg
id_4925381038169739221,Pos
id_6174102737501231312,Neg
id_9090311219960617646,Pos
id_3601529919746814476,Pos
id_2226672864968679693,Pos
id_1034468343930162863,Neg
id_8324398017119848670,Pos
id_1583425633204537464,Pos
id_4355254537991783574,Pos
id_4433507764091245536,Pos
id_4399347690164969791,Pos
id_2394439355612654038,Pos
id_8135294511199882694,Neg
id_2217992748945005048,Pos
id_5669272483388298106,Neg
id_7183461210732065399,Neg
id_6969510533031247452,Neg
id_4536666333012094580,Pos
id_5770893376708414257,Pos
id_4124202881065910816,Neg
id_8539633761927726304,Pos
id_8658744767090817376,Pos
id_1215104068422592036,Neg
id_4825565542941681032,Pos
id_625220860419297284,Pos
id_4737031719919928226,Neg
id_4566087026492854994,Pos
id_1875766297357717543,Pos
id_7239925960364775759,Pos
id_4545590016628372408,Pos
id_5808227384227286394,Pos
id_5831200605950162596,Pos
id_6235708958119408804,Pos
id_5762835760369082464,Neg
id_3320458816004284864,Neg
id_1707152783329783158,Pos
id_1991287547382951855,Neg
id_6077160845982417603,Neg
id_2548867670702274018,Pos
id_5308879617211853749,Neg
id_3557072356799008112,Neg
id_7894062330087200092,Neg
id_7048740168400814006,Neg
id_33066791535097474,Neg
id_4363354558547417594,Pos
id_5443928941076302030,Pos
id_1607943028815943743,Neg
id_1284466725099914185,Neg
id_5742775939514023622,Neg
id_3756227494936300043,Pos
id_531111491236690561,Pos
id_2473669016755550204,Neg
id_4691331803300920091,Pos
id_3370759170879800721,Neg
id_1867414252412580215,Pos
id_6271054163846326530,Neg
id_7419471252784106007,Pos
id_5093895076457719538,Neg
id_1062576233417537830,Pos
id_2301314642044442816,Neg
id_8331710843188340466,Neg
id_4032018022304810148,Pos
id_7686540780336237790,Pos
id_8243837422926566653,Pos
id_843996491496883608,Pos
id_6372378502557420463,Pos
id_4117122206573271989,Pos
id_7729036737245667265,Neg
id_3414222259930360792,Pos
id_3037203824462377922,Neg
id_3540943607846091003,Pos
id_1814138138040377474,Neg
id_2159446640987139514,Neg
id_1292075530253198284,Pos
id_2491648535834844997,Neg
id_1356163447397869919,Pos
id_8377741223171343924,Pos
id_4833782090258303556,Neg
id_6134383343765476157,Pos
id_343780127480702487,Neg
id_3841091526107269253,Pos
id_8763928383029833089,Neg
id_6358929340751412056,Neg
id_2686442611427289374,Neg
id_2581847582102330764,Pos
id_4619268209193501232,Neg
id_2704616640980555610,Pos
id_3320874938207959750,Pos
id_2917496518917149483,Pos
id_7691732644174727186,Pos
id_3241235223652842865,Neg
id_4691148644420759355,Neg
id_7591917977881927873,Neg
id_5648562756679413439,Neg
id_3704204196762412416,Neg
id_3691180670506110356,Neg
id_763554270893170440,Neg
id_3288879746843866321,Pos
id_5378242449987347767,Neg
id_7715569472135906339,Pos
id_8541699091438020341,Pos
id_8124514194828899595,Neg
id_2657643657408826789,Pos
id_7748090814191408129,Neg
id_3102796595067736139,Neg
id_7329158789315253799,Neg
id_7885685636326894688,Pos
id_3232462997770395517,Neg
id_2222479598202561084,Neg
id_1915273399381250774,Neg
id_1166238348596675649,Neg
id_6443862739936416969,Pos
id_59332483649636680,Neg
id_2569935726533992392,Neg
id_8552628301444510277,Pos
id_1635924139451187405,Neg
id_5814064704340936683,Pos
id_3119620377104734096,Neg
id_3473605834977927675,Neg
id_1193987810169088529,Pos
id_7070111247058898664,Pos
id_8291397846355534801,Neg
id_951451539544216442,Pos
id_5660045819899983699,Pos
id_2885436215848681951,Pos
id_3718741059031872606,Pos
id_428523311158893847,Neg
id_8782679729205824516,Pos
id_4740562878821941784,Neg
id_227717861896810847,Pos
id_7556081990535775699,Pos
id_7702636054311569831,Pos
id_3580425309461498212,Neg
id_9024040785117639078,Neg
id_7301394815040434132,Neg
id_3913157568344790208,Pos
id_1742058343314378690,Neg
id_2096229343771063748,Pos
id_2165340323960897690,Pos
id_7366010325969553992,Pos
id_477958358967271337,Neg
id_4631758579687835431,Pos
id_5028665531236093463,Pos
id_3494839448911095467,Pos
id_2075914230068974362,Pos
id_4929185949695360691,Neg
id_572611866136845173,Neg
id_4360277214481574771,Pos
id_7351406238866574528,Pos
id_1161261963264595606,Neg
id_1443495525690884691,Neg
id_7648959928169063949,Neg
id_3613665001962431645,Pos
id_2067538627226497904,Neg
id_8214672576348127679,Neg
id_2189510879481326592,Pos
id_6131903627252979580,Pos
id_8109916511523952238,Pos
id_7647170494461358553,Pos
id_8890080493159206183,Neg
id_6105369306416406047,Neg
id_753832771333535490,Neg
id_8826488649026287230,Pos
id_1687602203861322364,Neg
id_5943319455901043292,Pos
id_123417909714060528,Neg
id_8541582186721568181,Neg
id_7967505862827604410,Neg
id_1958545968005108351,Pos
id_6332462025702119850,Neg
id_5619137235655969179,Neg
id_3242040122001539145,Pos
id_4751630073235036017,Neg
id_4476381244331315462,Pos
id_3119767024467346314,Neg
id_4463018192326286625,Neg
id_8604915950566351638,Neg
id_1820908810384424102,Neg
id_6066449751574494349,Neg
id_1410058114364576551,Neg
id_1271507730735579193,Pos
id_8150515922541377104,Pos
id_1797973800990719145,Neg
id_1417248039944616182,Pos
id_3608539594149658630,Pos
id_8673128135824662216,Neg
id_2877674282225843291,Pos
id_1088021960432000519,Neg
id_2110847754596159417,Pos
id_4590548918232764118,Pos
id_4845943814146387240,Neg
id_5067239727733481566,Pos
id_2504096320565827,Pos
id_6265052260585769101,Pos
id_5543249471389342321,Pos
id_7605921087385923238,Pos
id_1290040540388038263,Neg
id_5450079274113532255,Neg
id_7750217978349600906,Pos
id_4535647042783957758,Pos
id_4911756001746047119,Pos
id_1864234524915507396,Neg
id_8995019764108518550,Pos
id_345940315564311638,Neg
id_5767118757587683640,Pos
id_8589029772772115099,Neg
id_1232635669667591,Neg
id_3841601244238927956,Neg
id_5280092431408647109,Neg
id_848012307393462243,Neg
id_4147354339630269440,Neg
id_5016285451209585099,Neg
id_3326187529285860092,Neg
id_829218020130345521,Pos
id_5383995176426619420,Pos
id_597561679055296094,Pos
id_2857154582048255776,Pos
id_7922024774790439496,Pos
id_9114466171864988469,Pos
id_8995744758883577035,Pos
id_3001339176795287355,Pos
id_854113209658985674,Pos
id_1805186949452378998,Neg
id_6902460316802574380,Neg
id_6937948995914533905,Pos
id_2873895664493588548,Pos
id_7732411460555582921,Pos
id_1891191440466425688,Neg
id_3096312362684485380,Neg
id_1651570353126039423,Neg
id_2895977053433808694,Neg
id_5266475645619123498,Pos
id_5903941791271303835,Pos
id_6082120768697904627,Pos
id_5722032724940138934,Pos
id_5432161211720141745,Pos
id_421738800430542937,Pos
id_5728887978080693094,Pos
id_374755749449260362,Pos
id_8612690867869370840,Neg
id_4217138152212256294,Neg
id_1519475086293548378,Pos
id_8763814970119492389,Neg
id_2299989017564446513,Pos
id_5006305716739500967,Neg
id_3705991044893166446,Neg
id_4050383886575273246,Pos
id_386491382511677983,Neg
id_3939195335135717450,Pos
id_2223039279682577662,Pos
id_3064123051677058981,Neg
id_1928744237916985648,Pos
id_339151600143830807,Neg
id_5648776525789230536,Pos
id_4491132146297092425,Neg
id_1367342225064006889,Neg
id_346920182367860629,Pos
id_1238892273073267644,Neg
